fid,id,xcoord,ycoord,zcoord,mvalue
"1","51",650399.717222671,7536414.13363347,1320.7,
"2","49",650430.78196327,7536412.77173148,1318,
"3","47",650462.577763578,7536410.89410352,1314.7,
"4","45",650498.522615323,7536410.00254826,1310.8,
"5","43",650534.602068108,7536408.00221985,1307.8,
"6","41",650570.767863494,7536404.51795396,1300.9,
"7","39",650607.223587148,7536403.28521297,1295.4,
"8","37",650640.455139765,7536399.63137021,1288.9,
"9","35",650675.546028978,7536397.7616936,1280.1,
"10","33",650711.141989878,7536396.85277142,1273.4,
"11","31",650740.804871992,7536394.29592149,1269.3,
"12","29",650774.981998631,7536393.67769836,1263.1,
"13","27",650808.670736437,7536390.61112771,1258.1,
"14","25",650840.462324706,7536387.62073887,1251.5,
"15","23",650870.495785591,7536387.13493327,1246.4,
"16","21",650901.083193964,7536385.56463334,1241.4,
"17","19",650934.857993707,7536383.43560616,1232.8,
"18","17",650967.192258938,7536381.96782419,1227.2,
"19","15",650999.580648635,7536379.57267819,1220.6,
"20","13",651035.517506792,7536374.03344241,1208.7,
"21","11",651067.465264733,7536371.98581619,1201.6,
"22","9",651105.647238252,7536371.23301234,1196.8,
"23","7",651142.787119367,7536369.11669808,1190,
"24","5",651167.059324416,7536368.85683026,1185.2,
"25","3",651188.612554107,7536367.13526447,1178.4,
"26","1",651221.35678953,7536363.46032173,1174.4,
"27","400",651521.75061738,7536343.39776086,1102.6,
